,name,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
36,Sharon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24713.0,22432.0,20838.0,27825.0,28533.0,26143.0,25713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Susan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19221.0,28268.0,31951.0,35988.0,37709.0,38017.0,40228.0,41348.0,44297.0,47162.0,47419.0,46562.0,45952.0,45172.0,41616.0,39208.0,37530.0,35750.0,33990.0,31515.0,26322.0,23775.0,22262.0,19504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Donna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23518.0,,,,,,,,27941.0,29852.0,28042.0,26955.0,36469.0,34138.0,28674.0,25722.0,25406.0,23807.0,19700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Kathleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23257.0,26357.0,25705.0,26716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Deborah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29062.0,42053.0,49812.0,52199.0,54675.0,52317.0,47837.0,40095.0,32942.0,29549.0,25261.0,24105.0,22894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Karen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27998.0,28957.0,29858.0,32456.0,33219.0,40052.0,40590.0,38488.0,36783.0,36380.0,34697.0,35188.0,32487.0,30247.0,32870.0,25449.0,21540.0,19561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Debra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26832.0,36855.0,45897.0,50560.0,48324.0,42727.0,35524.0,31387.0,26728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pamela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Cynthia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27615.0,,32339.0,39340.0,31013.0,30185.0,26712.0,24389.0,24024.0,21585.0,20319.0,19242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Lisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25702.0,33695.0,42719.0,46074.0,56040.0,54271.0,60269.0,56918.0,52436.0,49533.0,45028.0,38965.0,32910.0,27543.0,22673.0,19777.0,18139.0,17348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Lori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Kimberly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24131.0,28837.0,32231.0,33096.0,31907.0,33076.0,34133.0,30706.0,26281.0,23531.0,22427.0,20258.0,18962.0,18285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Tammy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20045.0,,18620.0,18651.0,20060.0,19051.0,19586.0,17656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Angela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18752.0,18535.0,19551.0,20671.0,21062.0,24930.0,25900.0,23562.0,20898.0,22803.0,23360.0,22039.0,20999.0,20518.0,20257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Michelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27159.0,30826.0,33223.0,34319.0,34046.0,33159.0,29287.0,26936.0,25828.0,22667.0,19551.0,19540.0,18856.0,19266.0,19120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Jennifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18215.0,18238.0,26851.0,33704.0,46150.0,56771.0,63602.0,62447.0,63106.0,58187.0,59472.0,58964.0,56318.0,56716.0,58378.0,57048.0,57118.0,54355.0,50563.0,42660.0,36189.0,32708.0,27893.0,24004.0,22236.0,20673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Melissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18377.0,21731.0,23019.0,23734.0,23876.0,22494.0,22480.0,22166.0,24167.0,25094.0,26880.0,28327.0,34050.0,31634.0,28005.0,25866.0,23474.0,21897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21462.0,25213.0,26237.0,25872.0,26964.0,29564.0,32253.0,31339.0,26730.0,23214.0,21609.0,19833.0,20344.0,18800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Laura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Tracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Julie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Stephanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16890.0,17264.0,16983.0,15775.0,,,,,,20213.0,20861.0,22331.0,23025.0,23244.0,22648.0,22402.0,22844.0,22766.0,24864.0,22775.0,19679.0,17187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Heather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16320.0,19346.0,23180.0,24302.0,24192.0,23773.0,22270.0,20834.0,19973.0,17946.0,,20747.0,21489.0,21152.0,19789.0,18982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Nicole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15755.0,,,14277.0,,,17280.0,19509.0,19917.0,20311.0,21706.0,22400.0,22271.0,22967.0,21292.0,20286.0,20314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Rebecca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14869.0,15165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Jessica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18369.0,24845.0,26103.0,27782.0,33923.0,42532.0,45449.0,45284.0,45858.0,48348.0,52684.0,55996.0,51557.0,47887.0,46486.0,43395.0,38361.0,34993.0,32122.0,27939.0,24200.0,21045.0,18238.0,16350.0,15711.0,,,,,,,,,,,,,,,,,,,,,,,,
62,Amanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15589.0,18280.0,20519.0,31925.0,35811.0,34373.0,34214.0,33750.0,33913.0,39056.0,40532.0,41786.0,39459.0,36834.0,34413.0,28896.0,25039.0,20811.0,18718.0,16354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Ashley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33291.0,38774.0,47008.0,49672.0,54853.0,49975.0,47588.0,45560.0,43477.0,38461.0,34849.0,30283.0,26606.0,23678.0,20896.0,19874.0,18136.0,18000.0,16531.0,15344.0,14519.0,14377.0,13275.0,,,,,,,,,,,,,,,,,,,
66,Megan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20012.0,,,,,,,17842.0,,16580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Brittany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20313.0,22231.0,26817.0,37791.0,36537.0,29090.0,24983.0,21723.0,18900.0,16477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Samantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20700.0,24792.0,25868.0,25648.0,24409.0,23668.0,22824.0,21645.0,20551.0,20170.0,20194.0,19043.0,17264.0,15867.0,14671.0,13869.0,13787.0,13642.0,12470.0,,,,,,,,,,,,,,,,,,
69,Lauren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21065.0,20507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Emily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20311.0,21834.0,23596.0,24153.0,24383.0,25150.0,25735.0,26188.0,26542.0,25959.0,25059.0,24469.0,25693.0,25041.0,23950.0,21411.0,19366.0,17445.0,15362.0,14281.0,14277.0,13664.0,13142.0,12667.0,11806.0,11004.0,,,,,,,,
71,Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21271.0,20734.0,20426.0,19153.0,19504.0,18576.0,16906.0,15080.0,,,,,,,,,,,,,,,,,,,,,,,,
72,Hannah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17018.0,18596.0,20596.0,21375.0,21679.0,23087.0,20723.0,18827.0,17638.0,15613.0,14853.0,14554.0,13322.0,,,,,,,,,,,,,,,,,
73,Alexis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16592.0,17171.0,19778.0,19237.0,17631.0,16404.0,15636.0,14867.0,,,,,,,,,,,,,,,,,,,,,
74,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15189.0,17787.0,18054.0,19968.0,22166.0,21773.0,20201.0,20628.0,19578.0,18635.0,17968.0,17046.0,15254.0,13194.0,12406.0,11416.0,10604.0,10331.0,,,,,,,,,,
76,Abigail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14807.0,15302.0,15932.0,15435.0,15756.0,15633.0,15476.0,15087.0,14401.0,14257.0,13261.0,12728.0,12429.0,12113.0,12420.0,11794.0,10645.0,,,,,,,
77,Olivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13977.0,14630.0,16154.0,16108.0,15699.0,15507.0,16588.0,17087.0,17443.0,17037.0,17334.0,17332.0,18453.0,19836.0,19726.0,19409.0,18777.0,18055.0,18569.0,17682.0,17841.0,16654.0,15313.0,14718.0
78,Isabella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15021.0,15198.0,18231.0,19143.0,18628.0,22319.0,22935.0,19930.0,19134.0,17679.0,17133.0,15661.0,14861.0,15254.0,14568.0,13404.0,12217.0,11297.0,11747.0,10853.0,10770.0
79,Ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13606.0,16941.0,18053.0,17050.0,15877.0,15442.0,15514.0,15548.0,15271.0,15725.0,16410.0,16347.0,16015.0,15028.0,14544.0,13197.0,12867.0,11105.0,9724.0,8662.0
80,Sophia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13503.0,17031.0,16090.0,16951.0,20655.0,21861.0,22335.0,21253.0,18642.0,17451.0,16182.0,14936.0,14004.0,13813.0,13095.0,12578.0,12375.0,11984.0,12088.0
81,Chloe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11835.0,11918.0,11763.0,11007.0,,,,,,,,,,,,,
82,Mia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11437.0,10649.0,11542.0,12037.0,13166.0,13533.0,14939.0,14462.0,13519.0,12738.0,12503.0,11264.0,11167.0,11068.0,11395.0,12113.0
83,Charlotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10120.0,11415.0,13117.0,12965.0,13036.0,13236.0,13097.0,13362.0,12944.0,12628.0,12552.0
84,Harper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10310.0,,,10644.0,10494.0,8848.0,8441.0,,,
85,Amelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10808.0,11868.0,12402.0,12940.0,12799.0,13032.0,12409.0,12352.0,12740.0
86,Luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8967.0,7841.0,
87,Sofia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8094.0
